bundle,relpath,filename,ext,size_bytes,sha1,fullpath
dev_env_bundle,scripts/bootstrap_dev.sh,bootstrap_dev.sh,.sh,2967,6babd7a73dd5750cdf7acb3b96183429a0cd6098,/mnt/data/workspace_inventory/dev_env_bundle/scripts/bootstrap_dev.sh
dev_env_bundle,vscode/extensions.txt,extensions.txt,.txt,229,fbad98a79c33b05f19122d1a509e3965913d7b10,/mnt/data/workspace_inventory/dev_env_bundle/vscode/extensions.txt
fleet_layer_bundle,.env.example,.env.example,.example,167,d4ef0691f25ca0012632d51dbc7257d7820ea031,/mnt/data/workspace_inventory/fleet_layer_bundle/.env.example
fleet_layer_bundle,README.md,README.md,.md,346,1c5396f78e680008a113e49a8979d2db5002dbe9,/mnt/data/workspace_inventory/fleet_layer_bundle/README.md
fleet_layer_bundle,dashboard/index.html,index.html,.html,294,b9e487c92936340922ae58331642e1f25904768f,/mnt/data/workspace_inventory/fleet_layer_bundle/dashboard/index.html
fleet_layer_bundle,docker-compose.yml,docker-compose.yml,.yml,1050,131645c6f86392e973dbf19110da2dc661816e32,/mnt/data/workspace_inventory/fleet_layer_bundle/docker-compose.yml
nxcore_bootstrap_bundle,README.md,README.md,.md,46,5288fbaffe3903f2039f00181d797b0cb050c4b4,/mnt/data/workspace_inventory/nxcore_bootstrap_bundle/README.md
nxcore_bootstrap_bundle,bootstrap_nxcore.sh,bootstrap_nxcore.sh,.sh,56,fa4954b610dcef155947d3a53d5df0e2843bc8b4,/mnt/data/workspace_inventory/nxcore_bootstrap_bundle/bootstrap_nxcore.sh
nxcore_bootstrap_bundle,coturn/turnserver.conf.example,turnserver.conf.example,.example,22,d65fd9b23ae3de159fd1c576657cc8b25a2381cc,/mnt/data/workspace_inventory/nxcore_bootstrap_bundle/coturn/turnserver.conf.example
nxcore_bootstrap_bundle,filebrowser/docker-compose.yml,docker-compose.yml,.yml,12,7017318a747f472d6f0b3854e0f6961cc75b4946,/mnt/data/workspace_inventory/nxcore_bootstrap_bundle/filebrowser/docker-compose.yml
nxcore_bootstrap_bundle,n8n-stack/.env.example,.env.example,.example,31,a83f86282c404d2c3137820b15efb1c2d471cc2d,/mnt/data/workspace_inventory/nxcore_bootstrap_bundle/n8n-stack/.env.example
nxcore_bootstrap_bundle,n8n-stack/traefik/dynamic/tailscale-certs.yml,tailscale-certs.yml,.yml,7,7516837638a7649f2f2254162ee3be75e60b005f,/mnt/data/workspace_inventory/nxcore_bootstrap_bundle/n8n-stack/traefik/dynamic/tailscale-certs.yml
nxcore_bootstrap_bundle,services-landing/index.html,index.html,.html,15,7ed524a163d9c13508889b274ee499fab511fb1c,/mnt/data/workspace_inventory/nxcore_bootstrap_bundle/services-landing/index.html
