file_name,full_path,extension,parent_folder,size_bytes,size_mb,mime_type,file_hash,is_duplicate,duplicate_of
scp-to-nxcore.bat,D:\NeXuS\NXCore-Control\all.in.one.installer\control\scripts\scp-to-nxcore.bat,.bat,scripts,225,0,text/plain,5653b1b7a4dcef57af2ed559104fb9752ad5bd20750f469dc0c18431004d5cad,TRUE,D:\NeXuS\NXCore-Control\scripts\scp-to-nxcore.bat
ssh-nxcore.bat,D:\NeXuS\NXCore-Control\all.in.one.installer\control\scripts\ssh-nxcore.bat,.bat,scripts,66,0,text/plain,42dd552c575b8b8ca538507db2644ae038e66170ff30205fe402ad3345ac853b,TRUE,D:\NeXuS\NXCore-Control\scripts\ssh-nxcore.bat
install-ssh.ps1,D:\NeXuS\NXCore-Control\all.in.one.installer\control\utils\windows\install-ssh.ps1,.ps1,windows,100,0,unknown,b18f3992b46f662b3790f920258e91b23cd982e29bf0d7a776bec3002bfb07ce,TRUE,D:\NeXuS\NXCore-Control\utils\windows\install-ssh.ps1
winget-install.bat,D:\NeXuS\NXCore-Control\all.in.one.installer\control\utils\windows\winget-install.bat,.bat,windows,113,0,text/plain,fe375487b420c0ac366332bdaa1e84739b7570c816ba11f4531b10a0c2c5af45,TRUE,D:\NeXuS\NXCore-Control\utils\windows\winget-install.bat
README.md,D:\NeXuS\NXCore-Control\all.in.one.installer\README.md,.md,all.in.one.installer,2089,0,text/markdown,ec778e5a17d06fcc16b6443095f865a1ec7d0cd19c262ab4e6e499530a3d1b8e,FALSE,
.env,D:\NeXuS\NXCore-Control\all.in.one.installer\server\aerocaller_coturn_pack\.env,,aerocaller_coturn_pack,289,0,unknown,1615d66e844c37062b02c874b83be7defda42cab683a033e86d9342045a1a3fe,TRUE,D:\NeXuS\NXCore-Control\utils\coturn\.env
client_snippets.md,D:\NeXuS\NXCore-Control\all.in.one.installer\server\aerocaller_coturn_pack\client_snippets.md,.md,aerocaller_coturn_pack,1256,0,text/markdown,3c805ad0abc503b92ac5221036162c64e0fc43245bcc43a8031466fed577942f,TRUE,D:\NeXuS\NXCore-Control\utils\coturn\client_snippets.md
docker-compose.yml,D:\NeXuS\NXCore-Control\all.in.one.installer\server\aerocaller_coturn_pack\docker-compose.yml,.yml,aerocaller_coturn_pack,1027,0,unknown,b2782d1bf8c14ab62a7a958cd95aab74a3d176ba595cc4116ff95d36957a997d,TRUE,D:\NeXuS\NXCore-Control\utils\coturn\docker-compose.yml
generate_turn_cred.js,D:\NeXuS\NXCore-Control\all.in.one.installer\server\aerocaller_coturn_pack\generate_turn_cred.js,.js,aerocaller_coturn_pack,549,0,text/javascript,b722d48c43cf093a3a4dde63fc1a461d07be4a880638235966a1c0d6037fcf8e,TRUE,D:\NeXuS\NXCore-Control\utils\coturn\generate_turn_cred.js
install_coturn_docker.sh,D:\NeXuS\NXCore-Control\all.in.one.installer\server\aerocaller_coturn_pack\install_coturn_docker.sh,.sh,aerocaller_coturn_pack,1581,0,application/x-sh,1abb66eca8939baefa9a9180efec7796c208f47526f96554f0cf8350d836697d,TRUE,D:\NeXuS\NXCore-Control\utils\coturn\install_coturn_docker.sh
install_coturn_native.sh,D:\NeXuS\NXCore-Control\all.in.one.installer\server\aerocaller_coturn_pack\install_coturn_native.sh,.sh,aerocaller_coturn_pack,772,0,application/x-sh,46568c4e14beb902e38d6d8d86939b2c6e4506baf933e3c9a291eabb0531cb51,TRUE,D:\NeXuS\NXCore-Control\utils\coturn\install_coturn_native.sh
README.md,D:\NeXuS\NXCore-Control\all.in.one.installer\server\aerocaller_coturn_pack\README.md,.md,aerocaller_coturn_pack,1698,0,text/markdown,a4a6cda5bfc24be2fe84d51533797162d531c25102157f0d6974aceff6063784,TRUE,D:\NeXuS\NXCore-Control\utils\coturn\README.md
verify_turn.sh,D:\NeXuS\NXCore-Control\all.in.one.installer\server\aerocaller_coturn_pack\verify_turn.sh,.sh,aerocaller_coturn_pack,523,0,application/x-sh,7a1f740706235c467ee0e7a138e0237878139e8b538ace9ce961624140836068,TRUE,D:\NeXuS\NXCore-Control\utils\coturn\verify_turn.sh
.env.example,D:\NeXuS\NXCore-Control\all.in.one.installer\server\fleet_layer\.env.example,.example,fleet_layer,167,0,unknown,1ffbf30fb581314e6f7d3da55465dedd888770e644485742a70aa5188b0ab58b,FALSE,
index.html,D:\NeXuS\NXCore-Control\all.in.one.installer\server\fleet_layer\dashboard\index.html,.html,dashboard,294,0,text/html,5d856ef8f34fd7ae991890ee1cd08417023d960993a245461a6bf61d844eacaf,FALSE,
docker-compose.yml,D:\NeXuS\NXCore-Control\all.in.one.installer\server\fleet_layer\docker-compose.yml,.yml,fleet_layer,1050,0,unknown,5a5ef292d72c836ca51fa9d2650e0f7ecb9dd43bc72bdd72c0641fcc2ce74b8a,FALSE,
README.md,D:\NeXuS\NXCore-Control\all.in.one.installer\server\fleet_layer\README.md,.md,fleet_layer,346,0,text/markdown,3fb7dc9a5891255836bdae1ef1f0072145c051b8f6454ef8f9994cc8e6b8a478,FALSE,
install_server.sh,D:\NeXuS\NXCore-Control\all.in.one.installer\server\install_server.sh,.sh,server,323,0,application/x-sh,23c05ab59a0f4d2aa97639ddb73fc6fd7825de6f42f9857de3bc4fe4494dab5f,FALSE,
bootstrap_nxcore.sh,D:\NeXuS\NXCore-Control\all.in.one.installer\server\nxcore_bootstrap\bootstrap_nxcore.sh,.sh,nxcore_bootstrap,56,0,application/x-sh,ae965a119251941ad3714e5ba15724c878f99fed74bb240f66319956de6c4fd1,FALSE,
turnserver.conf.example,D:\NeXuS\NXCore-Control\all.in.one.installer\server\nxcore_bootstrap\coturn\turnserver.conf.example,.example,coturn,22,0,unknown,a5a6623eff1d021e23ccb62159782a68649b7edf893521e7b90979be0ff3a50a,FALSE,
